Fitschen's Folly,California,Tahquitz & Suicide Rocks,Tahquitz Rock,South Face,South Face - Right Side
Orange Peel,California,Tahquitz & Suicide Rocks,Tahquitz Rock,South Face,South Face - Right Side
Pas de Deux,California,Tahquitz & Suicide Rocks,Tahquitz Rock,South Face,South Face - Right Side
"Pas de Deux, Original Route",California,Tahquitz & Suicide Rocks,Tahquitz Rock,South Face,South Face - Right Side
Abe's Oddysee,California,Central Coast,Santa Barbara,* Santa Barbara Bouldering,Potter's Point ,Upper Canyon
The Highway,California,Central Coast,Santa Barbara,* Santa Barbara Bouldering,Potter's Point ,Upper Canyon
Original Generation Arete,California,Central Coast,Santa Barbara,* Santa Barbara Bouldering,Potter's Point ,Upper Canyon
Pita Chip Stick Clip,California,Central Coast,Santa Barbara,* Santa Barbara Bouldering,Potter's Point ,Upper Canyon
Roadhouse Blues,California,Central Coast,Santa Barbara,* Santa Barbara Bouldering,Potter's Point ,Upper Canyon
Rumspringa,California,Central Coast,Santa Barbara,* Santa Barbara Bouldering,Potter's Point ,Upper Canyon
Soon I Will Be Gone,California,Central Coast,Santa Barbara,* Santa Barbara Bouldering,Potter's Point ,Upper Canyon
Cosmic Charlie,Colorado,10 Mile Canyon,The Diamond Wall
Lucy,Colorado,10 Mile Canyon,The Diamond Wall
The Plug,Colorado,10 Mile Canyon,The Diamond Wall
Andy's,Colorado,10 Mile Canyon,The Dome
Arete Direct,Colorado,10 Mile Canyon,The Dome
Bye Bye,Colorado,10 Mile Canyon,The Dome
C'est Le Pied,Colorado,10 Mile Canyon,The Dome
C'est... Variation,Colorado,10 Mile Canyon,The Dome
CBU,Colorado,10 Mile Canyon,The Dome
Chim Chimney,Colorado,10 Mile Canyon,The Dome
Drive by Truckers,Colorado,10 Mile Canyon,The Dome
Fancy Free,Colorado,10 Mile Canyon,The Dome
Handy Andy,Colorado,10 Mile Canyon,The Dome
Just Say NO to Bolts,Colorado,10 Mile Canyon,The Dome
Lower Corner,Colorado,10 Mile Canyon,The Dome
Steel Your Face,Colorado,10 Mile Canyon,The Dome
Sweet Spot,Colorado,10 Mile Canyon,The Dome
Boomerang,Colorado,10 Mile Canyon,Halfway Rock
Chicken Spider,Colorado,10 Mile Canyon,Halfway Rock
Das Krankenhaus,Colorado,10 Mile Canyon,Halfway Rock
Dealer's Choice  Left,Colorado,10 Mile Canyon,Halfway Rock
